,4870,4940,4990,5050,5100,5145
2009,-2116.0,-1770.0,-1660.0,-1129.0,-274.0,702.0
2010,-1811.0,-1228.0,-903.0,-5.0,607.0,160.0
2011,-181.0,-123.0,-144.0,49.0,156.0,52.0
2012,-78.0,528.0,816.0,984.0,1536.0,1697.0
2013,-1375.0,-713.0,-393.0,-1083.0,-754.0,-953.0
2014,-1832.0,-335.0,-284.0,706.0,880.0,920.0
2015,-614.0,-1862.0,-809.0,-648.0,-812.0,-856.0
2016,-2640.0,-1870.0,-809.0,593.0,921.0,827.0
2017,-994.0,-245.0,689.0,432.0,1160.0,1096.0
2018,409.0,-118.0,221.0,874.0,1466.0,1487.0
2019,-1017.0,-595.0,221.0,1247.0,1154.0,1220.0
