LID,RGI_ID,L_NUM,LON,LAT,AREA,LENGTH,MATCH
1,RGI60-12.01025,293,44.52,42.7,2,4.3,1
3,RGI60-07.01079,144,14.08,77.97,7.62,4.3,1
4,RGI60-11.02704,201,7.93,46.05,9.94,6.7,1
5,RGI60-11.00376,202,11.13,47.05,3.94,4.9,1
6,RGI60-02.06474,21,-126.22,52.08,8.14,7.1,2
7,RGI60-11.03638,203,6.93,45.97,15.6,9.4,1
8,RGI60-11.02787,204,7.5,45.98,6.02,5.1,2
9,RGI60-16.02485,374,-77.6,-8.92,7.3,3.4,2
10,RGI60-02.12441,23,-117.25,52.2,14.95,7,1
11,RGI60-16.02296,375,-77.2,-9.25,3,2.4,2
12,RGI60-10.00769,192,87.48,50.12,10,5.2,2
13,RGI60-11.00325,205,11.08,47.08,2.55,3.1,1
14,RGI60-15.07663,342,100.15,27.4,1.5,3,2
15,RGI60-11.00343,207,11.12,47.07,1.47,2.6,1
16,RGI60-12.01252,295,43.07,43.05,37.27,18,1
18,RGI60-02.18763,24,-123.67,47.83,4.3,4.2,2
19,RGI60-11.01621,209,7.77,46.5,2.98,3.2,1
20,RGI60-12.00080,298,42.43,43.28,18.76,9.2,1
21,RGI60-10.05151,193,87.58,50.12,16,9,2
22,RGI60-08.02916,160,6.33,60.03,23.26,7.8,2
23,RGI60-11.03648,210,6.78,45.87,10.53,7.2,1
26,RGI60-08.01097,162,6.92,61.65,11.94,5.7,1
27,RGI60-11.01120,211,8.78,46.73,2.99,3.2,1
28,RGI60-17.15857,398,-73.2,-47.1,41.5,10,2
29,RGI60-16.01662,376,137.17,-4.1,0.89,1.8,2
30,RGI60-16.01636,377,37.3,-0.13,0.02,0.4,2
31,RGI60-14.04638,346,75,36,320,46,1
32,RGI60-02.02608,26,-123.9,50.87,26.5,11.1,2
35,RGI60-11.00518,213,11.1,47,2.69,3.2,2
36,RGI60-11.00886,214,10.95,46.82,3.5,3.6,2
37,RGI60-12.00335,302,42.77,43.2,3.11,4.4,2
38,RGI60-11.00164,215,12.33,47.1,6.24,4.2,2
39,RGI60-02.04893,29,-116.1,51.6,1.3,1.2,2
40,RGI60-11.00577,216,11.23,46.98,1.41,3.4,2
43,RGI60-08.01657,164,13.85,66.65,32,12,1
44,RGI60-17.15831,406,-73.17,-46.5,121.1,20.4,1
45,RGI60-11.02596,217,7.88,46.08,16.66,5.7,2
46,RGI60-11.00548,218,11.13,46.98,2.02,2.7,1
47,RGI60-11.02715,219,7.58,46.02,9.79,6.5,1
48,RGI60-17.15836,407,-73.2,-46.7,80,18,1
50,RGI60-02.00251,31,-122.6,49.83,0.44,1.3,2
51,RGI60-11.01974,221,10.57,46.4,20,5.4,2
52,RGI60-11.02245,222,9.7,46.3,8.77,5.7,1
53,RGI60-18.02375,448,170.15,-43.53,34.69,13.2,1
54,RGI60-18.02397,449,170.22,-43.5,32.6,10.25,1
55,RGI60-17.12375,408,-71.83,-41.15,6.54,6.59,1
56,RGI60-02.06472,32,-126.23,52.1,20,9.2,1
57,RGI60-11.00836,223,11.07,46.83,1.35,3.5,2
58,RGI60-15.06881,352,79.2,30.8,258,31.2,2
60,RGI60-10.01715,194,87.58,50.13,10,5.2,2
61,RGI60-11.03671,224,6.63,45.28,2.76,4,1
62,RGI60-11.00746,225,10.77,46.85,17.82,9,1
63,RGI60-12.00709,306,44.57,42.65,8.3,8.5,1
64,RGI60-11.02822,226,7.8,45.97,68.86,14.7,1
65,RGI60-11.00003,228,13.6,47.48,1.48,2.6,1
66,RGI60-11.01450,227,8.03,46.5,87.76,25.4,1
67,RGI60-16.01637,383,37.32,-0.15,0.05,0.6,2
68,RGI60-11.01876,229,8.33,46.43,6.25,6.8,1
70,RGI60-17.15825,411,-73.3,-46.45,80,18,1
71,RGI60-11.00291,230,13.32,47.03,2.76,2.7,1
72,RGI60-11.00546,231,11.2,46.98,1.87,2.5,1
73,RGI60-11.00887,232,10.98,46.8,11.87,8.8,1
74,RGI60-15.07886,355,101.92,29.57,24.83,13.19,1
75,RGI60-11.00002,233,13.62,47.48,3.3,2.4,1
76,RGI60-07.00240,150,15.67,77.08,57,17,1
77,RGI60-02.01461,34,-123.88,50.52,9.46,7,1
78,RGI60-02.00377,35,-123,49.97,0.92,2.5,1
79,RGI60-11.00897,234,10.77,46.8,8.72,8,1
80,RGI60-11.00957,235,10.82,46.78,7.13,4.5,2
81,RGI60-11.00459,236,11.82,47,3.87,3.4,1
82,RGI60-11.00872,237,8.85,46.82,13.73,7.3,1
83,RGI60-17.00024,419,-70.13,-34.55,15,7,2
84,RGI60-02.03688,38,-117.47,51.23,6.37,3,2
85,RGI60-08.00202,167,18.57,67.92,1.4,2.2,2
86,RGI60-11.00781,238,10.17,46.87,3.8,3.6,2
88,RGI60-11.00067,239,12.7,47.13,4.04,3.8,1
89,RGI60-11.01193,240,8.42,46.68,3.15,3.4,1
90,RGI60-11.00787,241,10.8,46.83,4.29,4.25,1
91,RGI60-11.00181,242,13.25,47.07,3.04,2.7,1
