YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1959,853,CN,URUMQI GLACIER NO. 1,,,,87.0,,RGI40-13.27055
1960,853,CN,URUMQI GLACIER NO. 1,,,,-188.0,,RGI40-13.27055
1961,853,CN,URUMQI GLACIER NO. 1,,,,-33.0,,RGI40-13.27055
1962,853,CN,URUMQI GLACIER NO. 1,,,,-167.0,,RGI40-13.27055
1963,853,CN,URUMQI GLACIER NO. 1,,,,234.0,,RGI40-13.27055
1964,853,CN,URUMQI GLACIER NO. 1,,,,2.0,,RGI40-13.27055
1965,853,CN,URUMQI GLACIER NO. 1,,,,374.0,,RGI40-13.27055
1966,853,CN,URUMQI GLACIER NO. 1,,,,-374.0,,RGI40-13.27055
1967,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of -70 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1968,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of -456 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1969,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of +148 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1970,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of -313 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1971,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance or +102 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1972,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of +262 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1973,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of -708 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1974,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of -125 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1975,853,CN,URUMQI GLACIER NO. 1,,,,,The mass balance of +288 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1976,853,CN,URUMQI GLACIER NO. 1,1.87,,,,The mass balance of +29 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1977,853,CN,URUMQI GLACIER NO. 1,1.86,,,,The mass balance of +180 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1978,853,CN,URUMQI GLACIER NO. 1,1.86,,,,The mass balance of -110 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1979,853,CN,URUMQI GLACIER NO. 1,1.85,,,,The mass balance of -84 mm we is estimated from correlations with climatic data obsserved at Daxigou station (cf. Wang et al. 2007: DGS 102).,RGI40-13.27055
1980,853,CN,URUMQI GLACIER NO. 1,1.84,,,-335.0,,RGI40-13.27055
1981,853,CN,URUMQI GLACIER NO. 1,1.88,,,-652.0,,RGI40-13.27055
