YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1990,3295,US,SHOLES,,,,-320.0,
1991,3295,US,SHOLES,,,,480.0,
1992,3295,US,SHOLES,,,,-1880.0,
1993,3295,US,SHOLES,,,,-960.0,
1994,3295,US,SHOLES,,,,-880.0,
1995,3295,US,SHOLES,,,,-250.0,
1996,3295,US,SHOLES,,,,60.0,
1997,3295,US,SHOLES,,,,420.0,
1998,3295,US,SHOLES,,,,-1560.0,
1999,3295,US,SHOLES,,,,1760.0,
2000,3295,US,SHOLES,,,,-80.0,
2001,3295,US,SHOLES,,,,-1830.0,
2002,3295,US,SHOLES,,,,210.0,
2003,3295,US,SHOLES,,,,-1120.0,
2004,3295,US,SHOLES,,,,-1860.0,
2005,3295,US,SHOLES,,,,-2840.0,
2006,3295,US,SHOLES,0.9,,,-710.0,LB: 1690; UB: 1960
2007,3295,US,SHOLES,0.9,,,-210.0,LB: 1690; UB: 1960
2008,3295,US,SHOLES,,,,200.0,Elevation range reported: 1690-1960.
2009,3295,US,SHOLES,,,,-2680.0,
2010,3295,US,SHOLES,,,,940.0,
2011,3295,US,SHOLES,,,,1450.0,Lower and upper boundary of altitude interval was given as 1690 and 1960
2012,3295,US,SHOLES,,,,340.0,Glacier elevation range reported as: 1690/1960 m asl
2013,3295,US,SHOLES,,,,-1700.0,
2014,3295,US,SHOLES,,,,-1530.0,
2015,3295,US,SHOLES,,,,-3050.0,
2016,3295,US,SHOLES,,,,-1520.0,Elevation range: 1690/1960 m asl.
