YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1984,77,US,LOWER CURTIS,,,,390.0,
1985,77,US,LOWER CURTIS,,,,-160.0,
1986,77,US,LOWER CURTIS,0.8,,,-220.0,
1987,77,US,LOWER CURTIS,0.8,,,-560.0,
1988,77,US,LOWER CURTIS,0.8,,,-60.0,
1989,77,US,LOWER CURTIS,0.8,,,-290.0,
1990,77,US,LOWER CURTIS,0.8,,,-510.0,
1991,77,US,LOWER CURTIS,,,,40.0,
1992,77,US,LOWER CURTIS,,,,-1760.0,
1993,77,US,LOWER CURTIS,,,,-480.0,
1994,77,US,LOWER CURTIS,,,,-550.0,
1995,77,US,LOWER CURTIS,,,,-210.0,
1996,77,US,LOWER CURTIS,,,,-180.0,
1997,77,US,LOWER CURTIS,,,,270.0,
1998,77,US,LOWER CURTIS,,,,-1380.0,
1999,77,US,LOWER CURTIS,,,,1550.0,
2000,77,US,LOWER CURTIS,0.8,,,-250.0,
2001,77,US,LOWER CURTIS,,,,-1880.0,
2002,77,US,LOWER CURTIS,0.84,,,130.0,
2003,77,US,LOWER CURTIS,0.83,,,-1250.0,
2004,77,US,LOWER CURTIS,,,,-1510.0,
2005,77,US,LOWER CURTIS,,,,-2750.0,
2006,77,US,LOWER CURTIS,0.8,,,-1060.0,LB: 1470; UB: 1850
2007,77,US,LOWER CURTIS,0.8,,,-400.0,LB: 1470; UB: 1850
2008,77,US,LOWER CURTIS,,,,120.0,Elevation range reported: 1470-1850.
2009,77,US,LOWER CURTIS,,,,-2150.0,
2010,77,US,LOWER CURTIS,,,,-440.0,
2011,77,US,LOWER CURTIS,,,,940.0,Lower and upper boundary of altitude interval was given as 1470 and 1850
2012,77,US,LOWER CURTIS,,,,-380.0,Glacier elevation range reported as: 1470/1850 m asl
2013,77,US,LOWER CURTIS,,,,-850.0,
2014,77,US,LOWER CURTIS,,,,-1350.0,
2015,77,US,LOWER CURTIS,,,,-3400.0,
2016,77,US,LOWER CURTIS,,,,-1550.0,Elevation range: 1490/1850 m asl.
