YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1984,82,US,ICE WORM,,,,860.0,
1985,82,US,ICE WORM,,,,-750.0,
1986,82,US,ICE WORM,0.2,,,-450.0,
1987,82,US,ICE WORM,0.2,,,-1390.0,
1988,82,US,ICE WORM,0.2,,,-240.0,
1989,82,US,ICE WORM,0.2,,,-670.0,
1990,82,US,ICE WORM,0.2,,,-920.0,
1991,82,US,ICE WORM,,,,630.0,
1992,82,US,ICE WORM,,,,-2230.0,
1993,82,US,ICE WORM,,,,-1020.0,
1994,82,US,ICE WORM,,,,-1230.0,
1995,82,US,ICE WORM,,,,470.0,
1996,82,US,ICE WORM,,,,570.0,
1997,82,US,ICE WORM,,,,760.0,
1998,82,US,ICE WORM,,,,-1640.0,
1999,82,US,ICE WORM,0.1,,,2150.0,
2000,82,US,ICE WORM,,,,-330.0,
2001,82,US,ICE WORM,,,,-2150.0,
2002,82,US,ICE WORM,0.13,,,50.0,
2003,82,US,ICE WORM,0.13,,,-1400.0,
2004,82,US,ICE WORM,,,,-2000.0,
2005,82,US,ICE WORM,,,,-2850.0,
2006,82,US,ICE WORM,0.1,,,-1350.0,LB: 1900; UB: 2100
2007,82,US,ICE WORM,0.1,,,-620.0,LB: 1900; UB: 2100
2008,82,US,ICE WORM,,,,-100.0,Elevation range reported: 1900-2100.
2009,82,US,ICE WORM,,,,-1560.0,
2010,82,US,ICE WORM,,,,-380.0,
2011,82,US,ICE WORM,,,,1340.0,Lower and upper boundary of altitude interval was given as 1900 and 2100
2012,82,US,ICE WORM,,,,150.0,Glacier elevation range reported as: 1900/2100 m asl
2013,82,US,ICE WORM,,,,-700.0,
2014,82,US,ICE WORM,,,,-320.0,
2015,82,US,ICE WORM,,,,-3250.0,
2016,82,US,ICE WORM,,,,-780.0,Elevation range: 1900/2070 m asl.
