,rgi_id,MB_profile,exist_diff_total_winter_summer_above_100,len_mb_profile,len_summer_balance,len_winter_balance,len_annual_balance
RGI60-19.00595,RGI60-19.00595,True,False,20,0,0,20.0
RGI60-19.02056,RGI60-19.02056,False,False,0,18,18,18.0
RGI60-19.02059,RGI60-19.02059,False,False,0,18,18,18.0
RGI60-17.14681,RGI60-17.14681,False,False,0,6,6,12.0
RGI60-17.14682,RGI60-17.14682,False,False,0,6,6,12.0
RGI60-17.14889,RGI60-17.14889,False,False,0,2,2,12.0
RGI60-17.02128,RGI60-17.02128,False,False,0,18,18,19.0
RGI60-17.14203,RGI60-17.14203,False,True,0,23,23,24.0
RGI60-11.00289,RGI60-11.00289,True,False,19,18,18,31.0
RGI60-11.00002,RGI60-11.00002,True,False,13,13,13,13.0
RGI60-11.00897,RGI60-11.00897,True,False,41,7,7,41.0
RGI60-11.00781,RGI60-11.00781,True,True,28,26,26,31.0
RGI60-11.00787,RGI60-11.00787,True,False,40,0,0,41.0
RGI60-11.00251,RGI60-11.00251,True,False,19,18,18,21.0
RGI60-11.00106,RGI60-11.00106,True,False,14,0,0,33.0
RGI60-11.00080,RGI60-11.00080,False,False,0,0,0,41.0
RGI60-11.00719,RGI60-11.00719,True,False,41,40,40,41.0
RGI60-11.00300,RGI60-11.00300,True,False,37,29,29,37.0
RGI60-11.00190,RGI60-11.00190,True,False,13,13,13,13.0
RGI60-16.01447,RGI60-16.01447,False,True,0,4,4,17.0
RGI60-16.00532,RGI60-16.00532,True,False,16,0,0,16.0
RGI60-16.00543,RGI60-16.00543,True,False,25,0,0,27.0
RGI60-03.00840,RGI60-03.00840,False,False,0,0,0,16.0
RGI60-03.02435,RGI60-03.02435,True,False,22,39,39,41.0
RGI60-02.00377,RGI60-02.00377,True,True,10,13,13,39.0
RGI60-03.00691,RGI60-03.00691,False,False,0,35,35,41.0
RGI60-03.04552,RGI60-03.04552,False,False,0,34,34,40.0
RGI60-02.05098,RGI60-02.05098,True,False,26,18,18,40.0
RGI60-02.01104,RGI60-02.01104,True,False,13,16,16,40.0
RGI60-02.00296,RGI60-02.00296,True,False,9,11,11,11.0
RGI60-03.04539,RGI60-03.04539,True,False,35,0,0,37.0
RGI60-11.02764,RGI60-11.02764,True,False,14,11,11,14.0
RGI60-11.02704,RGI60-11.02704,True,False,41,38,38,41.0
RGI60-11.01987,RGI60-11.01987,True,False,24,27,27,28.0
RGI60-11.00843,RGI60-11.00843,True,False,41,41,41,41.0
RGI60-11.02766,RGI60-11.02766,True,False,5,20,20,23.0
RGI60-11.02773,RGI60-11.02773,True,False,15,12,12,15.0
RGI60-11.02774,RGI60-11.02774,True,False,41,38,38,41.0
RGI60-11.01876,RGI60-11.01876,True,False,37,41,41,41.0
RGI60-11.01450,RGI60-11.01450,False,False,0,21,21,21.0
RGI60-11.02679,RGI60-11.02679,True,False,41,38,38,41.0
RGI60-11.02671,RGI60-11.02671,True,False,17,17,17,17.0
RGI60-11.00638,RGI60-11.00638,False,False,0,13,13,13.0
RGI60-11.02072,RGI60-11.02072,True,False,10,10,10,10.0
RGI60-11.00892,RGI60-11.00892,True,False,7,7,7,11.0
RGI60-11.01238,RGI60-11.01238,True,False,10,16,16,17.0
RGI60-11.02746,RGI60-11.02746,True,False,41,38,38,41.0
RGI60-11.00804,RGI60-11.00804,True,False,38,41,41,41.0
RGI60-11.02249,RGI60-11.02249,True,False,10,10,10,10.0
RGI60-17.14887,RGI60-17.14887,False,False,0,2,2,12.0
RGI60-17.13715,RGI60-17.13715,False,False,0,41,41,41.0
RGI60-17.14868,RGI60-17.14868,False,False,0,4,4,12.0
RGI60-13.33648,RGI60-13.33648,False,False,0,0,0,12.0
RGI60-13.41896,RGI60-13.41896,False,False,0,0,0,11.0
RGI60-15.11693,RGI60-15.11693,True,False,13,0,0,13.0
RGI60-13.32330,RGI60-13.32330,False,False,0,2,2,12.0
RGI60-13.45335,RGI60-13.45335,True,False,28,18,18,29.0
RGI60-13.45334,RGI60-13.45334,True,True,29,20,20,32.0
RGI60-13.24556,RGI60-13.24556,False,False,0,1,1,22.0
RGI60-16.01355,RGI60-16.01355,False,False,0,0,0,14.0
RGI60-16.01383,RGI60-16.01383,True,False,11,0,0,11.0
RGI60-16.01339,RGI60-16.01339,True,False,21,0,0,25.0
RGI60-11.03209,RGI60-11.03209,True,False,25,23,23,28.0
RGI60-11.03638,RGI60-11.03638,False,False,0,0,0,41.0
RGI60-11.03671,RGI60-11.03671,False,False,0,0,0,25.0
RGI60-11.03232,RGI60-11.03232,False,False,0,18,18,18.0
RGI60-11.03674,RGI60-11.03674,False,False,0,0,0,41.0
RGI60-11.03756,RGI60-11.03756,False,False,0,40,40,41.0
RGI60-05.20030,RGI60-05.20030,True,False,10,9,9,12.0
RGI60-05.11186,RGI60-05.11186,True,False,8,13,13,24.0
RGI60-14.15990,RGI60-14.15990,False,True,0,9,9,19.0
RGI60-15.07605,RGI60-15.07605,False,False,0,0,0,15.0
RGI60-14.15556,RGI60-14.15556,False,False,0,0,0,11.0
RGI60-14.12323,RGI60-14.12323,False,False,0,0,0,13.0
RGI60-06.00377,RGI60-06.00377,False,False,0,16,16,27.0
RGI60-06.00477,RGI60-06.00477,False,False,0,15,15,22.0
RGI60-06.00472,RGI60-06.00472,False,False,0,21,21,28.0
RGI60-06.00234,RGI60-06.00234,False,False,0,29,29,31.0
RGI60-06.00238,RGI60-06.00238,False,False,0,15,15,32.0
RGI60-06.00236,RGI60-06.00236,False,False,0,12,12,30.0
RGI60-06.00424,RGI60-06.00424,False,False,0,18,18,26.0
RGI60-06.00310,RGI60-06.00310,False,False,0,15,15,23.0
RGI60-06.00443,RGI60-06.00443,False,False,0,19,19,28.0
RGI60-11.03241,RGI60-11.03241,False,False,0,10,10,21.0
RGI60-11.01930,RGI60-11.01930,False,False,0,0,0,10.0
RGI60-11.01834,RGI60-11.01834,True,False,40,16,16,41.0
RGI60-11.03135,RGI60-11.03135,True,False,20,28,28,28.0
RGI60-11.01704,RGI60-11.01704,True,False,21,31,31,31.0
RGI60-11.03166,RGI60-11.03166,False,True,0,19,19,20.0
RGI60-11.01863,RGI60-11.01863,True,False,17,16,16,17.0
RGI60-11.01776,RGI60-11.01776,True,False,13,13,13,14.0
RGI60-11.02648,RGI60-11.02648,False,False,0,10,10,10.0
RGI60-11.00619,RGI60-11.00619,True,False,18,15,15,18.0
RGI60-11.00603,RGI60-11.00603,True,False,24,16,16,24.0
RGI60-11.00647,RGI60-11.00647,True,False,10,10,10,11.0
